\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/【施策別】ログインボーナス,653554,2
\\gfs\Shares\00_全社共有\.TemporaryItems,0,0
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/アイドルマスターSIDE M,112173744,176
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト/Mac,48792858,5
\\gfs\Shares\00_全社共有\05_printer,3739199,6
\\gfs\Shares\00_全社共有\06_デバイス管理/LspCatMacAgent.pkg,7705323,19
\\gfs\Shares\00_全社共有\ProjectRebirth/★MTG見学ルール,4476666,8
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼/2015Q2,19652923,9
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼/2016Q2,7272283,11
\\gfs\Shares\00_全社共有\photo&Video/20160311_GameJam,137870472,76
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/【テンプレート】,104267146,70
\\gfs\Shares\00_全社共有\.TemporaryItems/folders.501,0,0
\\gfs\Shares\00_全社共有\広報部/160801_wbs,152425371,2
\\gfs\Shares\00_全社共有\永年勤続表彰,18436,2
\\gfs\Shares\00_全社共有\永年勤続表彰/2015年12月,0,0
\\gfs\Shares\00_全社共有\_old/paint,200411,4
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼,255070910,93
\\gfs\Shares\00_全社共有\_old/DeNA_study,17296160,3
\\gfs\Shares\00_全社共有\photo&Video/台湾,1101959096,27
\\gfs\Shares\00_全社共有\websocket-sharp/Example2,34913,12
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/ONE PIECE グランドコレクション,5557673452,15459
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/ソードアート・オンラインプログレス・リンク,11328719,39
\\gfs\Shares\00_全社共有\.recycle,98816,1
\\gfs\Shares\00_全社共有\受渡フォルダ/上田さん,2968852041,211
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト/Windows,1677032848,7
\\gfs\Shares\00_全社共有\photo&Video/20160708_社員総会,1114684712,312
\\gfs\Shares\00_全社共有\会社案内/最新版,3848307639,95
\\gfs\Shares\00_全社共有\全社朝礼/FY2013,16577999,9
\\gfs\Shares\00_全社共有\広報部/bk,365676057856,47109
\\gfs\Shares\00_全社共有\広報部/photo,268635892,68
\\gfs\Shares\00_全社共有\05_printer/old,1361162,1
\\gfs\Shares\00_全社共有\photo&Video/ベトナムオフィス画像,36460141,36
\\gfs\Shares\00_全社共有\websocket-sharp/Example1,46887,16
\\gfs\Shares\00_全社共有\方針発表資料,26636209,66
\\gfs\Shares\00_全社共有\06_デバイス管理,31336738,26
\\gfs\Shares\00_全社共有\全社朝礼,1875057802,324
\\gfs\Shares\00_全社共有\Target/開催概要,1289613,2
\\gfs\Shares\00_全社共有\photo&Video/20160719_GameJam,342969939,98
\\gfs\Shares\00_全社共有\会社案内/アンティル作成,3678904,3
\\gfs\Shares\00_全社共有\全社朝礼/FY2016,676284429,127
\\gfs\Shares\00_全社共有\法務室（全社員共有）/依頼書format,103838,4
\\gfs\Shares\00_全社共有\Study/D2CRセミナー資料_20150610,13610210,11
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼/gloops開発スキーム,2129979,15
\\gfs\Shares\00_全社共有\_old,20786408662,422555
\\gfs\Shares\00_全社共有\_old/test,16007371,10
\\gfs\Shares\00_全社共有\永年勤続表彰/2015年10月,0,0
\\gfs\Shares\00_全社共有\01_セキュリティ対策ソフト/仮想マシン例外設定ツール,599608,1
\\gfs\Shares\00_全社共有\_old/長期休暇体制,131879,8
\\gfs\Shares\00_全社共有\受渡フォルダ/20150717_nakajima,37403972,22
\\gfs\Shares\00_全社共有\_old/BenQ_MX760,404405597,200
\\gfs\Shares\00_全社共有\ProjectRebirth/ぐるフェス,6261523175,925
\\gfs\Shares\00_全社共有\Study/2016,10129732,12
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/ガンダムカードコレクション,1312111695,2318
\\gfs\Shares\00_全社共有\受渡フォルダ/真島,1414797,6
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼,597624191,262
\\gfs\Shares\00_全社共有\PR/東京ゲームショウ,12218060,1
\\gfs\Shares\00_全社共有\photo&Video/20161113_森ビルカップ2016,439306485,169
\\gfs\Shares\00_全社共有\photo&Video/【2015年下期素材】,41825515032,800
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼/2014,8854685,13
\\gfs\Shares\00_全社共有\PR,12228304,3
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/◆競合タイトル_各種調査,1313993228,115
\\gfs\Shares\00_全社共有\04_office365,2138361,5
\\gfs\Shares\00_全社共有\方針発表資料/FY2016,7133264,28
\\gfs\Shares\00_全社共有\法務室（全社員共有）/参考資料,4834935,13
\\gfs\Shares\00_全社共有\photo&Video/20141207_忘年会の二次会,78762411,81
\\gfs\Shares\00_全社共有\_old/組織図,521953,5
\\gfs\Shares\00_全社共有\_old/PMO,16208683,34
\\gfs\Shares\00_全社共有\法務室（全社員共有）/法律セミナー資料,1299349,3
